,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
603,11/19/2012,32.07,33.25,31.84,32.919998,1392400,32.919998,1.0,29.70189997000001,29.31224985000002,29.902999749999992
604,11/20/2012,32.799999,33.099998,31.91,33.0,922500,33.0,1.0,29.712299980000008,29.38674985000002,30.16599974999999
605,11/21/2012,32.610001000000004,33.470001,32.290001000000004,32.470001,963200,32.470001,-1.0,29.72289999000001,29.431999875000013,30.396999799999993
606,11/23/2012,32.599998,32.830002,31.700001,32.130001,430300,32.130001,-1.0,29.73129999000001,29.543749900000012,30.58399989999999
607,11/26/2012,32.099998,32.299999,31.620001000000002,32.27,495800,32.27,1.0,29.74999999000001,29.66199987500001,30.826499899999995
608,11/27/2012,32.130001,32.66,31.52,32.150002,910800,32.150002,1.0,29.76490001000001,29.75349992500001,31.057999999999993
609,11/28/2012,32.0,34.290001000000004,31.91,33.23,1525200,33.23,1.0,29.784900010000012,29.85224990000001,31.350500049999994
610,11/29/2012,33.439999,34.0,32.869999,33.689999,1103400,33.689999,1.0,29.811900000000016,29.965499875000006,31.628500049999992
611,11/30/2012,33.630001,34.279999,33.009997999999996,33.82,1420300,33.82,1.0,29.835200000000018,30.0659999,31.857000049999993
612,12/3/2012,33.889998999999996,35.0,33.5,34.619999,2085700,34.619999,1.0,29.868699990000017,30.1989999,32.141999999999996
613,12/4/2012,34.080002,34.799999,33.549999,33.900002,1263300,33.900002,-1.0,29.892600010000013,30.31149995,32.262000099999995
614,12/5/2012,33.82,34.189999,33.580002,33.709998999999996,661500,33.709998999999996,-1.0,29.902699990000016,30.431999949999998,32.39000005
615,12/6/2012,33.82,34.799999,33.5,33.900002,660400,33.900002,1.0,29.899200010000012,30.548250000000003,32.5080001
616,12/7/2012,34.299999,34.490002000000004,33.849998,34.169998,664400,34.169998,-1.0,29.88130000000001,30.693249925000003,32.65100005
617,12/10/2012,34.43,34.799999,34.18,34.57,929800,34.57,1.0,29.893500020000012,30.847499925,32.86350005
618,12/11/2012,34.599998,35.5,34.459998999999996,35.279999,1572600,35.279999,1.0,29.92479999000001,31.021499900000002,33.074
619,12/12/2012,35.209998999999996,35.799999,34.950001,35.259997999999996,2063800,35.259997999999996,1.0,29.95469997000001,31.211999875000004,33.25649985
620,12/13/2012,35.259997999999996,35.299999,32.75,33.610001000000004,2151300,33.610001000000004,-1.0,29.97289997000001,31.368999900000006,33.36799995
621,12/14/2012,33.779999,34.400002,33.59,33.810001,1023000,33.810001,1.0,30.004399980000013,31.512749950000007,33.51749999999999
622,12/17/2012,33.77,34.5,33.75,34.400002,824900,34.400002,1.0,30.050000000000008,31.65225000000001,33.645500099999985
623,12/18/2012,34.259997999999996,35.07,34.259997999999996,34.59,1553900,34.59,1.0,30.10639999000001,31.815999975000004,33.72900019999999
624,12/19/2012,34.75,35.259997999999996,34.52,34.610001000000004,1298800,34.610001000000004,-1.0,30.17120001000001,31.987750000000005,33.80950024999999
625,12/20/2012,34.509997999999996,34.790001000000004,34.049999,34.43,921200,34.43,-1.0,30.220400010000006,32.15225000000001,33.90750019999999
